video_id,exercise_label,label_index,split,num_windows,cache_path
0,jumping_jack,0,train,25,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0000.npz
1,jumping_jack,0,test,10,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0001.npz
2,jumping_jack,0,train,14,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0002.npz
3,jumping_jack,0,validation,22,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0003.npz
4,jumping_jack,0,validation,27,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0004.npz
5,jumping_jack,0,validation,17,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0005.npz
6,jumping_jack,0,train,28,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0006.npz
7,jumping_jack,0,test,28,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0007.npz
8,jumping_jack,0,train,17,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0008.npz
9,jumping_jack,0,train,14,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0009.npz
10,jumping_jack,0,train,26,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0010.npz
11,jumping_jack,0,validation,5,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0011.npz
12,jumping_jack,0,train,25,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0012.npz
13,jumping_jack,0,train,23,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0013.npz
14,jumping_jack,0,train,10,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0014.npz
15,jumping_jack,0,train,15,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0015.npz
16,jumping_jack,0,test,25,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0016.npz
17,jumping_jack,0,train,4,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0017.npz
18,jumping_jack,0,train,21,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0018.npz
19,jumping_jack,0,train,14,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0019.npz
20,jumping_jack,0,train,28,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0020.npz
21,jumping_jack,0,validation,15,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0021.npz
22,jumping_jack,0,train,6,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0022.npz
23,jumping_jack,0,train,28,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0023.npz
24,jumping_jack,0,train,14,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0024.npz
25,jumping_jack,0,train,12,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0025.npz
26,jumping_jack,0,test,17,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0026.npz
27,jumping_jack,0,train,5,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0027.npz
28,jumping_jack,0,train,13,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0028.npz
29,jumping_jack,0,train,23,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0029.npz
30,jumping_jack,0,train,19,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0030.npz
31,jumping_jack,0,validation,28,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0031.npz
32,jumping_jack,0,test,13,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0032.npz
33,jumping_jack,0,train,2,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0033.npz
34,jumping_jack,0,train,2,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0034.npz
35,jumping_jack,0,train,26,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0035.npz
36,jumping_jack,0,test,11,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0036.npz
37,jumping_jack,0,train,7,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0037.npz
38,jumping_jack,0,train,23,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0038.npz
39,jumping_jack,0,train,23,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0039.npz
40,jumping_jack,0,test,10,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0040.npz
41,jumping_jack,0,train,5,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0041.npz
42,jumping_jack,0,validation,10,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0042.npz
43,jumping_jack,0,train,6,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0043.npz
44,jumping_jack,0,train,13,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0044.npz
45,jumping_jack,0,train,13,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0045.npz
46,jumping_jack,0,train,17,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0046.npz
47,jumping_jack,0,validation,14,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0047.npz
48,jumping_jack,0,train,22,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0048.npz
49,jumping_jack,0,train,27,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0049.npz
50,jumping_jack,0,train,7,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0050.npz
51,jumping_jack,0,train,13,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0051.npz
52,jumping_jack,0,test,29,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0052.npz
53,jumping_jack,0,train,18,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0053.npz
54,jumping_jack,0,train,1,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0054.npz
55,jumping_jack,0,test,13,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0055.npz
56,jumping_jack,0,validation,8,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0056.npz
57,jumping_jack,0,validation,10,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0057.npz
58,jumping_jack,0,train,22,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0058.npz
59,jumping_jack,0,train,15,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0059.npz
60,jumping_jack,0,train,28,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0060.npz
61,jumping_jack,0,validation,22,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0061.npz
62,jumping_jack,0,test,15,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0062.npz
63,jumping_jack,0,test,19,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0063.npz
64,jumping_jack,0,validation,14,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0064.npz
65,jumping_jack,0,train,18,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0065.npz
66,jumping_jack,0,train,13,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0066.npz
67,jumping_jack,0,train,16,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0067.npz
68,jumping_jack,0,train,17,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0068.npz
69,jumping_jack,0,validation,26,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0069.npz
70,jumping_jack,0,train,7,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0070.npz
71,jumping_jack,0,train,4,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0071.npz
72,jumping_jack,0,train,3,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0072.npz
73,jumping_jack,0,test,10,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0073.npz
74,jumping_jack,0,validation,15,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0074.npz
75,jumping_jack,0,validation,19,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0075.npz
76,jumping_jack,0,train,28,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0076.npz
77,jumping_jack,0,train,18,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0077.npz
78,jumping_jack,0,test,17,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0078.npz
79,jumping_jack,0,train,10,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0079.npz
80,jumping_jack,0,train,28,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0080.npz
81,jumping_jack,0,train,4,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0081.npz
82,jumping_jack,0,train,25,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0082.npz
83,jumping_jack,0,train,10,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0083.npz
84,jumping_jack,0,train,9,C:\Users\JoudA\OneDrive\سطح المكتب\COOP - JOUD ALSHEHRI\code\ai_engine\datasets\window_cache\physical_exercise_recognition_v4\video_0084.npz
